,title,id,max_occur_words,max_occur_number,content_original,content
135,Bohrer,136,bohrer bohr german occup surnam liter mean bore drill notabl peopl includ,1,"Bohrer

Bohrer is a German occupational surname literally meaning ""one who bores/drills."" Notable people with this name include:",bohrer bohrer german occup surnam liter mean bore drills. notabl peopl includ
136,REDMAP,137,project republican,4,"REDMAP

REDMAP (short for Redistricting Majority Project) is a project of the Republican State Leadership Committee of the United States to increase Republican control of Congressional seats, largely through determination of electoral district boundaries. The project has reportedly made effective use of partisan gerrymandering, by relying on previously unavailable mapping software such as Maptitude to improve the precision with which district lines are strategically drawn.

""Salon"" editor David Daley, author of the 2016 book ""Ratf**ked"", argues that beginning in 2010, the GOP sought control of governorships and state legislatures for the express purpose of controlling redistricting to protect House Republican seats. This push was led by the Republican Senate Leadership Committee, and organized by Chris Jankowski as the Redistricting Majority Project. GOP strategist Karl Rove discussed this strategy with ""The Wall Street Journal"".",redmap redmap short redistrict major project project republican leadership committe unit increas republican control congression seat determin elector district boundaries. project reportedli effect partisan gerrymand reli unavail map softwar maptitud improv precis district line strateg drawn. salon editor david daley author 2016 book ratf ked argu 2010 gop sought control governorship legislatur express purpos control redistrict protect hous republican seats. push lead republican senat leadership committe organ chri jankowski redistrict major project. gop strategist karl rove discuss strategi wall street journal .
137,Vera Fonaroff,138,fonaroff,9,"Vera Fonaroff

Vera Fonaroff (June 14, 1883, Kiev - July 23, 1962, New York, NY) was an American classical violinist and violin teacher of Russian-Jewish heritage.

Born in Kiev on June 14, 1883, to Alexander and Sonia Hochstein, the family immigrated to the United States in 1900. In 1905 she married Mark Fonaroff, a fellow Russian emigrant who was also her violin teacher. They had two daughters. Olga Fonaroff (1910-1933) was mentally handicapped. Nina Fonaroff (1914-2003) became a dancer with the Martha Graham Dance Company.

At nine years old, Fonaroff debuted as a violin soloist with the Metropolitan Opera House Orchestra, and thereafter made frequent solo appearances. After a period in Engand, studying and touring as a soloist and recitalist with the pianist Richard Epstein, she returned to New York to study with Franz Kneisel. 
In 1909, Fonaroff joined the all-woman Olive Mead String Quartet as second violinist.

In 1923, Fonaroff began teaching at the Juilliard School. From 1926 to 1939 and 1948 to 1955, she taught violin, and she was director of violin instruction from 1924 to 1930. From 1941 to 1962, she was also on the faculty at the Mannes College of Music. Fonaroff also taught at the Damrosch Institute, the Henry Street Settlement Music School, and the Curtis Institute of Music in Philadelphia. Her students included Sanford Allen, the first black member of the New York Philharmonic.",vera fonaroff vera fonaroff june 14 1883 kiev juli 23 1962 york ny american classic violinist violin teacher russian jewish heritage. born kiev june 14 1883 alexand sonia hochstein famili immigr unit 1900. 1905 marri mark fonaroff fellow russian emigr violin teacher. daughters. olga fonaroff 1910 1933 mental handicapped. nina fonaroff 1914 2003 dancer martha graham danc company. year fonaroff debut violin soloist metropolitan opera hous orchestra frequent solo appearances. period engand studi tour soloist recitalist pianist richard epstein return york studi franz kneisel. 1909 fonaroff join woman oliv mead string quartet violinist. 1923 fonaroff begin teach juilliard school. 1926 1939 1948 1955 taught violin director violin instruct 1924 1930. 1941 1962 faculti mann colleg music. fonaroff taught damrosch institut henri street settlement music school curti institut music philadelphia. student includ sanford allen black member york philharmonic.
138,2017–18 Dartmouth Big Green women s basketball team,139,2017 18 dartmouth big green women basketbal season ivi leagu colspan 9 style,3,"2017–18 Dartmouth Big Green women's basketball team

The 2017–18 Dartmouth Big Green women's basketball team represents Dartmouth College during the 2017–18 NCAA Division I women's basketball season. The Big Green, led by fifth year head coach Belle Koclanes, play their home games at Leede Arena and are members of the Ivy League.

!colspan=9 style=| Non-conference regular season
!colspan=9 style=| Ivy League regular season
!colspan=9 style=| Ivy League Men's Tournament",2017 18 dartmouth big green woman basketbal team 2017 18 dartmouth big green woman basketbal team repres dartmouth colleg 2017 18 ncaa divis woman basketbal season. big green lead year head coach bell koclan play game leed arena member ivi league. !colspan 9 style confer regular season !colspan 9 style ivi leagu regular season !colspan 9 style ivi leagu men tournament
139,Rafael Moreira disambiguation,140,rafael moreira,3,"Rafael Moreira (disambiguation)

Rafael Moreira is a musician.

Rafael Moreira may also refer to:",rafael moreira disambigu rafael moreira musician. rafael moreira refer
140,Peter Jones surgeon,141,jone,9,"Peter Jones (surgeon)

Peter Henry Jones (1 March 1917 – 30 July 1984), was born in Monmouth and is best known for his role in assisting Sir Clement Price Thomas in the pneumonectomy of King George VI in 1951. 

He subsequently remained professionally close to Price Thomas, pursuing a career in Cardiothoracic surgery.
Jones was educated in Pontypool at Haberdashers' Aske's West Monmouth School.

Qualifying in medicine from Westminster Hospital Medical School in 1939, Jones stayed on at the hospital to complete his junior house posts. Between 1942 and 1946, he joined the Royal Army Medical Corps as a regimental medical officer to a field artillery regiment in North Africa and Italy. He witnessed the Salerno landing and the attack on Monte Cassino. Declining an elevation in rank, he opted to endure the rest of the war along with his regiment. Returning to England in 1946, Jones continued his surgical training and passed the FRCS in 1948. Afterwards, he joined the surgical team under Sir Clement Price Thomas at the Brompton Hospital and Westminster Hospitals.

Baguley and Davyhulme Hospitals appointed Jones as thoracic surgeon in 1955 and Manchester Royal Infirmary took him on in 1960. Also, in 1960, Jones attended the Presbyterian Hospital in San Francisco to learn new techniques in open heart surgery. After spending six months with Dr Frank Gerbode, he returned to Westminster Hospital as thoracic surgeon. 

As Hunterian Professor, he gave a lecture on bronchial sleeve resection in 1958. 

In 1951, Jones spent three weeks as resident surgeon in Buckingham Palace. On 23 September 1951, whilst still in the palace, he had assisted Price Thomas with the pneumonectomy on King George VI’s lung cancer. In return, he was awarded the MVO. The surgery has since been researched and re-enacted by real surgeons in Stephen Daldry's The Crown (TV series).

Jones enjoyed fishing and antique clocks. Coronary artery disease and an illness resulting in loss of voice limited his activities and resulted in his premature retirement.

He died on 30 July 1984 leaving his wife Monica, two children and four grandchildren.",peter jone surgeon peter henri jone 1 march 1917 30 juli 1984 born monmouth role assist sir clement price thoma pneumonectomi king georg vi 1951. subsequ remain profession close price thoma pursu career cardiothorac surgery. jone educ pontypool haberdash ask west monmouth school. qualifi medicin westminst hospit medic school 1939 jone stay hospit complet junior hous posts. 1942 1946 join royal armi medic corp regiment medic offic field artilleri regiment north africa italy. wit salerno land attack mont cassino. declin elev rank opt endur rest war regiment. return england 1946 jone continu surgic train pass frc 1948. join surgic team sir clement price thoma brompton hospit westminst hospitals. baguley davyhulm hospit appoint jone thorac surgeon 1955 manchest royal infirmari 1960. 1960 jone attend presbyterian hospit san francisco learn techniqu open heart surgery. spend month dr frank gerbod return westminst hospit thorac surgeon. hunterian professor lectur bronchial sleev resect 1958. 1951 jone spent week resid surgeon buckingham palace. 23 septemb 1951 palac assist price thoma pneumonectomi king georg vi’ lung cancer. return award mvo. surgeri research enact real surgeon stephen daldri crown tv seri . jone enjoy fish antiqu clocks. coronari arteri diseas ill loss voic limit activ prematur retirement. die 30 juli 1984 leav wife monica child grandchildren.
141,Facing It,142,poem vietnam,10,"Facing It

""Facing It"" is a poem by American poet and author Yusef Komunyakaa. It is a reflection on Komunyakaa's first visit to the Vietnam Veterans Memorial. Komunyakaa served in Vietnam from 1969 to 1970, during which time he wrote for army newspaper ""Southern Cross"". It is the second poem written by Komunyakaa about Vietnam. R. S. Gwynn has referred to the poem as “the most poignant elegy that has been written about the Vietnam War.” 

The poem was his second to deal with the topic of the Vietnam War. He first wrote a poem dealing with Vietnam fourteen years after returning from the war. ""Facing It"" was written approximately a year after visiting the Vietnam Veterans Memorial. Komunyakaa has said ""Facing It"" influenced the other poems of the collection in which it was first published, ""Dien Cai Dau"".

The poem concerns the speaker's visit to the Vietnam Veterans Memorial, a black gabbro wall engraved with the names of American soldiers who died in the war. The wall is polished so that it is reflective.

Like jazz, the poem appears to be free of form, but it is in fact split into a verse-bridge-verse structure similar to many jazz songs. The first thirteen lines reflect on the speaker's reaction, and the final thirteen reflect on the reactions of others; these two sections are separated by a shorter section describing the act of finding and touching a name.

The poem is one of several by Vietnam veterans to deal with memorials. Andrew Palmer and Sally Minogue have contrasted the ""ambivalent response"" of ""Facing It"" with W. D. Ehrhart's ""The Invasion of Grenada"", in which the speaker rejects the idea of a Vietnam memorial and refuses to engage with ""...that
vast black wall of broken lives"".

The poem has been anthologized in a number of collections, and is perhaps Komunyakaa's best known work.",face face poem american poet author yusef komunyakaa. reflect komunyakaa visit vietnam veteran memorial. komunyakaa serv vietnam 1969 1970 time write armi newspap southern cross . poem write komunyakaa vietnam. r. s. gwynn refer poem “the poignant elegi write vietnam war.” poem deal topic vietnam war. write poem deal vietnam fourteen year return war. face write year visit vietnam veteran memorial. komunyakaa face influenc poem collect publish dien cai dau . poem concern speaker visit vietnam veteran memori black gabbro wall engrav name american soldier die war. wall polish reflective. jazz poem appear free form fact split vers bridg vers structur jazz songs. thirteen line reflect speaker reaction final thirteen reflect reaction others; section separ shorter describ find touch name. poem vietnam veteran deal memorials. andrew palmer salli minogu contrast ambival respons face w. d. ehrhart invas grenada speaker reject idea vietnam memori refus engag ...that vast black wall broken life . poem antholog number collect komunyakaa work.
142,Rangrang Line,143,rangrang,5,"Rangrang Line

The Rangrang Line is a non-electrified freight-only railway line of the Korean State Railway in Ryŏkp'o-guyŏk and Rangrang-guyŏk, P'yŏngyang, North Korea, running from Ryŏkp'o on the P'yŏngbu Line to Rangrang,

The Rangrang Line was opened in 1989 to assist with the construction of the East P'yŏngyang Thermal Power Plant that began that year; since then, the line is used to supply the power plant with coal.

A yellow background in the ""Distance"" box indicates that section of the line is not electrified.",rangrang rangrang electrifi freight railway korean railway ryŏkp guyŏk rangrang guyŏk yŏngyang north korea run ryŏkp yŏngbu rangrang rangrang open 1989 assist construct east yŏngyang thermal power plant begin year; suppli power plant coal. yellow background distanc box electrified.
143,Drunk tank disambiguation,144,drunk tank,2,"Drunk tank (disambiguation)

A drunk tank is a jail cell or facility accommodating people who are intoxicated.

The term may also refer to:",drunk tank disambigu drunk tank jail cell facil accommod peopl intoxicated. term refer
144,Agnes Oxenbridge and Elizabeth Etchingham,145,etchingham,13,"Agnes Oxenbridge and Elizabeth Etchingham

Agnes Oxenbridge (died August 4, 1480) and Elizabeth Etchingham (died December 3, 1452) have a joint memorial brass on the floor of the side aisle of The Assumption of Blessed Mary and St Nicholas church at Etchingham, England. The brass is in front of the monument to Etchingham's ancestors. The Latin inscription under Elizabeth Etchingham identifies her as the first daughter of Thomas and Margaret Etchingham. The text under Agnes Oxenbridge identifies her as the daughter of Robert Oxenbridge. Both Judith M. Bennett in ""The Lesbian Premodern"" than Alan Bray in ""Homosexuality in Renaissance England"" recognized the memorial brass like those made for a married couple and therefore think that the one between Oxenbridge and Etchingham was a particular friendship, probably a medieval example of Lesbian relationship.

Elizabeth Etchingham was the daughter of Thomas Etchingham II (1424/25 - 1486) and Margaret West, daughter of Reginald West, 6th Baron De La Warr. The monument to Thomas Etchingham I and his parents is in front of the memorial brass of his granddaughter.

Agnes Oxenbridge was the daughter of Robert Oxenbridge (died 1487), of Brede, and his wife Ann Livelode (or Anne Lyvelode) (died 1494).

The Etchingham and Oxenbridge families were deeply connected: Thomas Oxenbridge (died 1540) inherited both Etchingham and Mountfield manors from his mother Elizabeth, sister of Elizabeth Etchingham, born in 1460, 8 years after the death of her sister; she married in 1500 Goddard Oxenbridge (died 1531), son of Robert Oxenbridge and Anne Lyvelode, and therefore brother of Agnes Oxenbridge.",agn oxenbridg elizabeth etchingham agn oxenbridg die august 4 1480 elizabeth etchingham die decemb 3 1452 joint memori brass floor aisl assumpt bless mari st nichola church etchingham england. brass monument etchingham ancestors. latin inscript elizabeth etchingham identifi daughter thoma margaret etchingham. text agn oxenbridg identifi daughter robert oxenbridge. judith m. bennett lesbian premodern alan bray homosexu renaiss england recogn memori brass marri coupl oxenbridg etchingham friendship mediev lesbian relationship. elizabeth etchingham daughter thoma etchingham ii 1424 25 1486 margaret west daughter reginald west 6th baron la warr. monument thoma etchingham parent memori brass granddaughter. agn oxenbridg daughter robert oxenbridg die 1487 brede wife ann livelod ann lyvelod die 1494 . etchingham oxenbridg famili deepli connect thoma oxenbridg die 1540 inherit etchingham mountfield manor mother elizabeth sister elizabeth etchingham born 1460 8 year death sister; marri 1500 goddard oxenbridg die 1531 son robert oxenbridg ann lyvelod brother agn oxenbridge.
145,Michel Portmann,146,michel portmann,2,"Michel Portmann

Michel Portmann (born 26 August 1941) is a Swiss athlete. He competed in the men's high jump at the 1968 Summer Olympics.",michel portmann michel portmann born 26 august 1941 swiss athlete. compet men high jump 1968 summer olympics.
146,Asprenas Calpurnius Serranus,147,asprena noniu,7,"Asprenas Calpurnius Serranus

Asprenas Calpurnius Serranus (died AD 41) was a Roman senator who was active in the first century. He was appointed ordinary consul in 38 as the colleague of Marcus Aquila Julianus. His complete name is Publius Nonius Asprenas Calpurnius Serranus.

Serranus was the son of Lucius Nonius Asprenas, ordinary consul of AD 6 and Calpurnia L. Pisonis f., the daughter of Lucius Calpurnius Piso Caesoninus consul in 15. He is known to have two brothers, Lucius Nonius Asprenas suffect consul in AD 29, and Nonius Asprenas Calpurnius Torquatus.

Only one event is known of his life. On the morning that the emperor Caligula was assassinated, while offering a sacrifice Serranus had gotten some blood on his garments. Later that day, when Caligula had been murdered, the emperor's German bodyguards sought his assassin with their swords drawn. The first person they encountered was Serranus, and assuming the blood on his clothes was human summarily slew him. Then they cut off his head and, with those assassins they had found and killed, paraded about with it.

Although the name of his wife is not known, Serranus is attested as having three sons: the rhetor Publius Nonius Asprenas; Publius Nonius Asperenas Caesianus; and Publius Nonius Asprenas Caesius Cassianus, suffect consul in either 72 or 73.",asprena calpurniu serranu asprena calpurniu serranu die ad 41 roman senat activ century. appoint ordinari consul 38 colleagu marcu aquila julianus. complet publiu noniu asprena calpurniu serranus. serranu son luciu noniu asprena ordinari consul ad 6 calpurnia l. pisoni f. daughter luciu calpurniu piso caesoninu consul 15. brother luciu noniu asprena suffect consul ad 29 noniu asprena calpurniu torquatus. event life. morn emperor caligula assassin offer sacrific serranu blood garments. day caligula murder emperor german bodyguard sought assassin sword drawn. person encount serranu assum blood cloth human summarili slew him. cut head assassin kill parad it. wife serranu attest son rhetor publiu noniu asprenas; publiu noniu asperena caesianus; publiu noniu asprena caesiu cassianu suffect consul 72 73.
147,John George Johnson,148,john georg johnson conserv elect brinckman,2,"John George Johnson

John George Johnson (1829–1896) was an English Conservative Party politician. 

He was elected Conservative MP for Exeter in 1874 but was defeated at the next election in 1880.

During 1872, he was also High Sheriff of Devon. He married Frances Grace Brinckman, daughter of Sir Theodore Brinckman, 1st Baronet.",john georg johnson john georg johnson 1829 1896 english conserv parti politician. elect conserv mp exet 1874 defeat elect 1880. 1872 high sheriff devon. marri franc grace brinckman daughter sir theodor brinckman 1st baronet.
148,Soufiane Kourdou,149,soufian kourdou basketbal club cup morocco’ nation 2017,2,"Soufiane Kourdou

Soufiane Kourdou (born May 21, 1985) is a Moroccan professional basketball player. He currently plays for the ASS Sale club of the FIBA Africa Club Champions Cup and the Nationale 1, Morocco’s first division.

He represented Morocco's national basketball team at the 2017 AfroBasket in Tunisia and Senegal where he was Morocco’s best free throw shooter.

At the 2017 Arab Nations Cup in Egypt, he was the tournament’s dominant scorer as he recorded 18.6 points per game.",soufian kourdou soufian kourdou born 21 1985 moroccan profession basketbal player. play as sale club fiba africa club champion cup national 1 morocco’ division. repres morocco nation basketbal team 2017 afrobasket tunisia seneg morocco’ free throw shooter. 2017 arab nation cup egypt tournament’ domin scorer record 18.6 point game.
149,2017–18 Yale Bulldogs women s basketball team,150,women season ivi leagu,4,"2017–18 Yale Bulldogs women's basketball team

The 2017–18 Yale Bulldogs women's basketball team represents Yale University during the 2017–18 NCAA Division I women's basketball season. The Bulldogs, led by third year head coach Allison Guth, play their home games at John J. Lee Amphitheater of the Payne Whitney Gymnasium and are members of the Ivy League.

They finished the season 15–12, 6–8 in Ivy League play to finish in sixth place.

!colspan=9 style=| Non-conference regular season
!colspan=9 style=| Ivy League regular season
!colspan=9 style=| Ivy League Women's Tournament",2017 18 yale bulldog woman basketbal team 2017 18 yale bulldog woman basketbal team repres yale univers 2017 18 ncaa divis woman basketbal season. bulldog lead year head coach allison guth play game john j. lee amphitheat payn whitney gymnasium member ivi league. finish season 15 12 6 8 ivi leagu play finish sixth place. !colspan 9 style confer regular season !colspan 9 style ivi leagu regular season !colspan 9 style ivi leagu woman tournament
150,Susana Olaondo,151,susana olaondo illustr children book,3,"Susana Olaondo

Susana Olaondo (born 27 May 1953) is a Uruguayan writer and illustrator.

Susana Olaondo was born in Montevideo in 1953. She studied drawing, painting, photography, sculpture, and introduction to visual and technical language in gardening, and graduated from the Municipal School of Gardening. Since 1990 she has held a plastic expression workshop for children where creativity is encouraged. The author highlights her versatility by writing her own stories and illustrating them. She initially started writing and drawing for her two children. In 1990 she illustrated her first book, ""La Tía Merelde"", and since then has continued to work in children's literature. Several of her books have been published and translated in the United States and Chile. She has published several works, including an audiobook for the Braille Foundation of Uruguay.

The author has demonstrated her passion for nature, plants and animals, taking these elements as inspiration to reflect on later in her books. Some of her stories (""Felipe"", ""Olegario"", ""Una Pindó"") have been theatrically adapted.",susana olaondo susana olaondo born 27 1953 uruguayan writer illustrator. susana olaondo born montevideo 1953. studi draw paint photographi sculptur introduct visual technic languag garden graduat municip school gardening. 1990 held plastic express workshop child creativ encouraged. author highlight versatil write stori illustr them. initi start write draw children. 1990 illustr book la tía mereld continu work child literature. book publish translat unit chile. publish work includ audiobook braill foundat uruguay. author demonstr passion natur plant anim element inspir reflect books. stori felip olegario una pindó theatric adapted.
151,2008 Saint Francis Cougars football team,152,saint franci footbal,6,"2008 Saint Francis Cougars football team

The 2008 Saint Francis Cougars football team represented the University of Saint Francis, located in Fort Wayne, Indiana, in the 2008 NAIA football season. They were led by head coach Kevin Donley, who served his 11th year as the first and only head coach in the history of Saint Francis football. The Cougars played their home games at Bishop John D'Arcy Stadium and were members of the Mid-States Football Association (MSFA) Mideast League (MEL). The Cougars finished in 1st place in the MSFA MEL division, so they received an automatic bid to the 2008 postseason NAIA playoffs.

The Saint Francis Cougars have a history of playing championship-quality teams. The only loss of the 2008 season was to eventual national champion Sioux Falls in the semifinal round of the playoffs. This marked the xxth time in the history of Saint Francis football that the team's schedule included a loss to the best team in the nation. It was the xxth time when that was the only loss of the year.

After an undefeated regular season, USF finished with a loss at Sioux Falls. This was the second time in three seasons that Sioux Falls put the only blemish on the USF record.",2008 saint franci cougar footbal team 2008 saint franci cougar footbal team repres univers saint franci locat fort wayn indiana 2008 naia footbal season. lead head coach kevin donley serv 11th year head coach histori saint franci football. cougar play game bishop john arci stadium member mid footbal associ msfa mideast leagu mel . cougar finish 1st place msfa mel divis receiv automat bid 2008 postseason naia playoffs. saint franci cougar histori play championship qualiti teams. loss 2008 season eventu nation champion sioux fall semifin playoffs. mark xxth time histori saint franci footbal team schedul includ loss team nation. xxth time loss year. undef regular season usf finish loss sioux falls. time season sioux fall blemish usf record.
152,Clare Sambrook,153,sambrook,7,"Clare Sambrook

Clare Sambrook is an English freelance journalist and author. Sambrook is best known for her work concerning the ""End Child Detention Now"" campaign which won her the Paul Foot Award and the Bevins Prize.

In high school, Sambrook won the Vellacott History Prize from the University of Cambridge. She later studied at Cambridge.

After university Sambrook began working for the ""John Lewis Gazette"" before working for the Haymarket Group. She later began working at the newspaper, ""The Daily Telegraph"" before leaving to become a freelance journalist so that she could concentrate on investigations.

Sambrook published her first novel, ""Hide and Seek"" in 2005. The book is written from the point of view of a 9-year-old boy called Harry who had to deal with the aftermath of the abduction of his 5-year-old brother, Daniel.

In 2010, Sambrook won the Paul Foot Award and the Bevins Prize for her articles which exposed government policies concerning the arrest and detention of asylum-seeking families and for her work with the ""End Child Detention Now"" campaign which she co-founded.

She was nominated for the Orwell Prize in 2013 and 2015.",clare sambrook clare sambrook english freelanc journalist author. sambrook work child detent campaign paul foot award bevin prize. high school sambrook vellacott histori prize univers cambridge. studi cambridge. univers sambrook begin work john lewi gazett work haymarket group. begin work newspap daili telegraph leav freelanc journalist concentr investigations. sambrook publish hide seek 2005. book write point view 9 year boy call harri deal aftermath abduct 5 year brother daniel. 2010 sambrook paul foot award bevin prize articl expos govern polici arrest detent asylum seek famili work child detent campaign founded. nomin orwel prize 2013 2015.
153,Sakawa River,154,river prefectur,3,"Sakawa River

The is a river in Shizuoka Prefecture and Kanagawa Prefecture Japan. In Shizuoka Prefecture it is called the Ayuzawa River. It flows into the Pacific Ocean.",sakawa river river shizuoka prefectur kanagawa prefectur japan. shizuoka prefectur call ayuzawa river. flow pacif ocean.
154,Sabatino Nicolucci,155,nicolucci,17,"Sabatino Nicolucci

Sabatino ""Sammy"" Nicolucci (born 1946/47) is an Italian-Canadian mobster linked to the Sicilian Rizzuto crime family based in Montreal, Quebec, Canada.

Nicolucci's first criminal conviction in Canada came in 1973 for drug possession, followed by possessing $2 million of counterfeit money in 1978. Nicolucci became a confidante of Vito Rizzuto, who went on a trip to Venezuela in 1984 where they met the allied Cuntrera-Caruana Mafia clan, regarded as drug specialists. That same year, a probe into Nicolucci's drug trafficking by the Royal Canadian Mounted Police (RCMP) found 12 kilograms of cocaine at Vancouver International Airport in false bottom suitcases intended for pick up by Montreal associate William Papier. The RCMP kept close surveillance on Nicolucci and Papier in Montreal through wiretaps, and even followed them by plane to Caracas, Venezuela where they received help from the United States Embassy in Venezuela, and bugged the mobsters hotel rooms. In 1985, the RCMP amassed enough evidence on Nicolucci and Papier, and the two were convicted and sentenced to 14 years in prison in Montreal Superior Court in relation to the Vancouver haul; they appealed, but the verdict was upheld.

In 1991, serving less than half his sentence, Nicolucci was released on parole. Within months of Nicolucci's release, he was money laundering, moving $31 million through a phony currency exchange in Montreal secretly run by the RCMP in an elaborate sting operation. Officers traced a $1.7-million purchase of 280 kilograms of cocaine made by Nicolucci on behalf of Vito Rizzuto. However, Nicolucci refused to pay the debt to the Colombian Cali cartel, claiming the cocaine was of poor quality. As a result, the Colombians kidnapped Nicolucci from Castel Tina on August 2, 1994, a Montreal strip club he managed, and smuggled him across the border to Miami, Florida, and then into Colombia. With an international warrant for Nicolucci's arrest, the Colombian police found Nicolucci in a house in Cali, Colombia in February 1995. He was extradited back to Canada and brought back to Montreal on May 30, 1996. Nicolucci was found guilty of 437 charges for drug trafficking and money laundering, and sentenced to 19 years in prison.

Nicolucci was paroled on Statutory Release in 2012. In September 2017, the Parole Board of Canada forbid Nicolucci from Montreal's Little Italy, as well as ""Italian-style"" coffee shops or establishments that are recognized by the police as being a meeting point for members of Italian organized crime.""",sabatino nicolucci sabatino sammi nicolucci born 1946 47 italian canadian mobster link sicilian rizzuto crime famili base montreal quebec canada. nicolucci crimin convict canada 1973 drug possess possess 2 counterfeit money 1978. nicolucci confidant vito rizzuto trip venezuela 1984 met alli cuntrera caruana mafia clan regard drug specialists. year probe nicolucci drug traffic royal canadian mount polic rcmp 12 kilogram cocain vancouv intern airport fals suitcas intend pick montreal associ william papier. rcmp close surveil nicolucci papier montreal wiretap plane caraca venezuela receiv unit embassi venezuela bug mobster hotel rooms. 1985 rcmp amass evid nicolucci papier convict sentenc 14 year prison montreal superior court relat vancouv haul; appeal verdict upheld. 1991 serv sentenc nicolucci releas parole. month nicolucci releas money launder move 31 phoni currenc exchang montreal secretli rcmp elabor sting operation. offic trace 1.7 purchas 280 kilogram cocain nicolucci behalf vito rizzuto. nicolucci refus pay debt colombian cali cartel claim cocain poor quality. result colombian kidnap nicolucci castel tina august 2 1994 montreal strip club manag smuggl border miami florida colombia. intern warrant nicolucci arrest colombian polic nicolucci hous cali colombia februari 1995. extradit canada brought montreal 30 1996. nicolucci guilti 437 charg drug traffic money launder sentenc 19 year prison. nicolucci parol statutori releas 2012. septemb 2017 parol board canada forbid nicolucci montreal itali italian style coffe shop establish recogn polic meet point member italian organ crime.
155,Houdini Museum of New York,156,houdini,15,"Houdini Museum of New York

The Houdini Museum of New York is located at Fantasma Magic, a retail magic manufacturer and seller located at 213 West 35th Street, Rm 401, New York, NY.

Opened in October 2012, the Houdini Museum of New York contains several hundred pieces of ephemera, most of which belonged to magician and escape artist Harry Houdini. Of the museum's many pieces, Houdini's 1907 escape coffin (in which Houdini was sealed with six-inch nails and subsequently escaped), the ""robot"" from Houdini's 1919 silent film ""The Master Mystery"", and Houdini's Metamorphosis Trunk are the largest. Other notable pieces include the original bust from Houdini's grave (on loan to the museum from the American Jewish Historical Society), Bess Houdini's stage outfit and a large selection of smaller pieces such as Houdini's personal magic and escape props. There are also many items related to Houdini's interest in the debunking of spiritualists. The Houdini memorabilia is said to be worth more than $1 million. and has been variously estimated to have cost ""several million.""

It is in an unassuming and almost unheralded location, and as such is easily missed. The museum has also been featured as both a point of interest and a background location on several television shows including ""ABC World News"", ""Fox And Friends"", NY1, MTV and ""Good Day New York"".

The museum is owned by Houdini collector Roger Dreyer (also the owner and CEO of Fantasma Magic) and was designed by architect and designer David Rockwell. It features over 1,500 pieces of ""Houdiniana,"" which portends an ""ever changing display."" Dreyer's Houdini collection is the second-largest in the world; the first being the collection of Las Vegas illusionist David Copperfield.",houdini museum york houdini museum york locat fantasma magic retail magic manufactur seller locat 213 west 35th street rm 401 york ny. open octob 2012 houdini museum york piec ephemera belong magician escap artist harri houdini. museum piec houdini 1907 escap coffin houdini seal inch nail subsequ escap robot houdini 1919 silent film master mysteri houdini metamorphosi trunk largest. notabl piec includ origin bust houdini grave loan museum american jewish histor societi be houdini stage outfit larg select small piec houdini person magic escap props. item houdini debunk spiritualists. houdini memorabilia worth 1 million. various estim cost million. unassum unherald locat easili missed. museum featur point background locat televis includ abc news fox friend ny1 mtv good day york . museum own houdini collector roger dreyer owner ceo fantasma magic design architect design david rockwell. featur 1 500 piec houdiniana portend chang display. dreyer houdini collect larg world; collect la vega illusionist david copperfield.
156,Look cigarette,157,brand,6,"Look (cigarette)

Look is a Danish brand of cigarettes, currently owned and manufactured by House of Prince, a subsidiary of British American Tobacco.

Look was introduced in 1966 by the Scandinavian Tobacco Group. In 1990, when a big re-organisation was happening at the Scandinavian Tobacco Group, all the manufacturing of the cigarette brands was moved to the sister company House of Prince, who in turn got bought by British American Tobacco in 2008 and now is the main producer of the brand. The tobacco used in Look cigarette consists out of an American blend.

In January 2017, the variant """"Look Original Menthol"""" has had its name changed to """"Prince Menthol Boost"""". The reason for this change has not been stated by House of Prince.

The brand is mainly sold in Denmark, but was or still is sold in Sweden and Germany.

The brand is available in four different versions and all of the variants are 100 mm long. Look Original is also known as Look Red.


Below are all the current brands of Look cigarettes sold, with the levels of tar, nicotine and carbon monoxide included.",cigarett danish brand cigarett own manufactur hous princ subsidiari british american tobacco. introduc 1966 scandinavian tobacco group. 1990 big organis happen scandinavian tobacco group manufactur cigarett brand move sister compani hous princ turn bought british american tobacco 2008 main produc brand. tobacco cigarett consist american blend. januari 2017 variant origin menthol chang princ menthol boost . reason chang state hous prince. brand sell denmark sell sweden germany. brand version variant 100 mm long. origin red. current brand cigarett sell level tar nicotin carbon monoxid included.
